ticker,date,price
000710.SZ,2005-05-18,1.49
000710.SZ,2005-05-19,1.49
000710.SZ,2005-05-20,1.46
000710.SZ,2005-05-23,1.39
000710.SZ,2005-05-24,1.43
000710.SZ,2005-05-25,1.45
000710.SZ,2005-05-26,1.46
000710.SZ,2005-05-27,1.53
000710.SZ,2005-05-30,1.52
000710.SZ,2005-05-31,1.49
000710.SZ,2005-06-01,1.54
000710.SZ,2005-06-02,1.48
000710.SZ,2005-06-03,1.46
000710.SZ,2005-06-06,1.47
000710.SZ,2005-06-07,1.48
000710.SZ,2005-06-08,1.55
000710.SZ,2005-06-09,1.56
000710.SZ,2005-06-10,1.57
000710.SZ,2005-06-13,1.55
000710.SZ,2005-06-14,1.57
000710.SZ,2005-06-15,1.49
000710.SZ,2005-06-16,1.49
000710.SZ,2005-06-17,1.43
000710.SZ,2005-06-20,1.47
000710.SZ,2005-06-21,1.47
000710.SZ,2005-06-22,1.51
000710.SZ,2005-06-23,1.48
000710.SZ,2005-06-24,1.49
000710.SZ,2005-06-27,1.54
000710.SZ,2005-06-28,1.59
000710.SZ,2005-06-29,1.64
000710.SZ,2005-06-30,1.57
000710.SZ,2005-07-01,1.49
000710.SZ,2005-07-04,1.46
000710.SZ,2005-07-05,1.43
000710.SZ,2005-07-06,1.43
000710.SZ,2005-07-07,1.44
000710.SZ,2005-07-08,1.37
000710.SZ,2005-07-11,1.3
000710.SZ,2005-07-12,1.29
000710.SZ,2005-07-13,1.25
000710.SZ,2005-07-14,1.31
000710.SZ,2005-07-15,1.25
000710.SZ,2005-07-18,1.2
000710.SZ,2005-07-19,1.2
000710.SZ,2005-07-20,1.17
000710.SZ,2005-07-21,1.2
000710.SZ,2005-07-22,1.22
000710.SZ,2005-07-25,1.22
000710.SZ,2005-07-26,1.25
000710.SZ,2005-07-27,1.26
000710.SZ,2005-07-28,1.28
000710.SZ,2005-07-29,1.25
000710.SZ,2005-08-01,1.28
000710.SZ,2005-08-02,1.28
000710.SZ,2005-08-03,1.3
000710.SZ,2005-08-04,1.29
000710.SZ,2005-08-05,1.32
000710.SZ,2005-08-08,1.37
000710.SZ,2005-08-09,1.38
000710.SZ,2005-08-10,1.41
000710.SZ,2005-08-11,1.46
000710.SZ,2005-08-12,1.38
000710.SZ,2005-08-15,1.46
000710.SZ,2005-08-16,1.49
000710.SZ,2005-08-17,1.5
000710.SZ,2005-08-18,1.49
000710.SZ,2005-08-19,1.45
000710.SZ,2005-08-22,1.49
000710.SZ,2005-08-23,1.54
000710.SZ,2005-08-24,1.62
000710.SZ,2005-08-25,1.65
000710.SZ,2005-08-26,1.73
000710.SZ,2005-08-29,1.67
000710.SZ,2005-08-30,1.59
000710.SZ,2005-08-31,1.53
000710.SZ,2005-09-01,1.61
000710.SZ,2005-09-02,1.62
000710.SZ,2005-09-05,1.7
000710.SZ,2005-09-06,1.62
000710.SZ,2005-09-07,1.7
000710.SZ,2005-09-08,1.65
000710.SZ,2005-09-09,1.68
000710.SZ,2005-09-12,1.77
000710.SZ,2005-09-13,1.84
000710.SZ,2005-09-14,1.78
000710.SZ,2005-09-15,1.82
000710.SZ,2005-09-16,1.88
000710.SZ,2005-09-19,1.97
000710.SZ,2005-09-20,2.04
000710.SZ,2005-09-21,1.96
000710.SZ,2005-09-22,2.06
000710.SZ,2005-09-23,2.16
000710.SZ,2005-09-26,2.27
000710.SZ,2005-09-27,2.38
000710.SZ,2005-09-28,2.5
000710.SZ,2005-09-29,2.38
000710.SZ,2005-09-30,2.26
000710.SZ,2005-10-03,2.26
000710.SZ,2005-10-04,2.26
000710.SZ,2005-10-05,2.26
000710.SZ,2005-10-06,2.26
000710.SZ,2005-10-07,2.26
