ticker,date,price
399001.SZ,2005-05-18,2883.77
399001.SZ,2005-05-19,2898.29
399001.SZ,2005-05-20,2900.83
399001.SZ,2005-05-23,2840.97
399001.SZ,2005-05-24,2869.58
399001.SZ,2005-05-25,2869.65
399001.SZ,2005-05-26,2839.55
399001.SZ,2005-05-27,2806.11
399001.SZ,2005-05-30,2794.2
399001.SZ,2005-05-31,2801.66
399001.SZ,2005-06-01,2716.78
399001.SZ,2005-06-02,2630.61
399001.SZ,2005-06-03,2627.02
399001.SZ,2005-06-06,2729.2
399001.SZ,2005-06-07,2709.48
399001.SZ,2005-06-08,2936.57
399001.SZ,2005-06-09,2951.14
399001.SZ,2005-06-10,2882.27
399001.SZ,2005-06-13,2879.77
399001.SZ,2005-06-14,2853.52
399001.SZ,2005-06-15,2795.06
399001.SZ,2005-06-16,2823.81
399001.SZ,2005-06-17,2790.65
399001.SZ,2005-06-20,2868.04
399001.SZ,2005-06-21,2829.62
399001.SZ,2005-06-22,2842.46
399001.SZ,2005-06-23,2839.51
399001.SZ,2005-06-24,2848.34
399001.SZ,2005-06-27,2914.97
399001.SZ,2005-06-28,2870.25
399001.SZ,2005-06-29,2847.8
399001.SZ,2005-06-30,2760.23
399001.SZ,2005-07-01,2728.72
399001.SZ,2005-07-04,2737.22
399001.SZ,2005-07-05,2716.56
399001.SZ,2005-07-06,2696.5
399001.SZ,2005-07-07,2697.94
399001.SZ,2005-07-08,2650.61
399001.SZ,2005-07-11,2651.8
399001.SZ,2005-07-12,2742.87
399001.SZ,2005-07-13,2734.37
399001.SZ,2005-07-14,2738.0
399001.SZ,2005-07-15,2716.67
399001.SZ,2005-07-18,2676.39
399001.SZ,2005-07-19,2684.76
399001.SZ,2005-07-20,2716.51
399001.SZ,2005-07-21,2724.26
399001.SZ,2005-07-22,2782.89
399001.SZ,2005-07-25,2758.67
399001.SZ,2005-07-26,2831.56
399001.SZ,2005-07-27,2886.52
399001.SZ,2005-07-28,2893.59
399001.SZ,2005-07-29,2887.57
399001.SZ,2005-08-01,2890.82
399001.SZ,2005-08-02,2940.23
399001.SZ,2005-08-03,2989.4
399001.SZ,2005-08-04,2969.31
399001.SZ,2005-08-05,3047.33
399001.SZ,2005-08-08,3061.79
399001.SZ,2005-08-09,3062.84
399001.SZ,2005-08-10,3062.94
399001.SZ,2005-08-11,3128.42
399001.SZ,2005-08-12,3065.73
399001.SZ,2005-08-15,3119.15
399001.SZ,2005-08-16,3085.49
399001.SZ,2005-08-17,3097.03
399001.SZ,2005-08-18,3001.4
399001.SZ,2005-08-19,3002.14
399001.SZ,2005-08-22,3030.41
399001.SZ,2005-08-23,2992.37
399001.SZ,2005-08-24,2996.65
399001.SZ,2005-08-25,2973.82
399001.SZ,2005-08-26,2952.73
399001.SZ,2005-08-29,2912.06
399001.SZ,2005-08-30,2909.81
399001.SZ,2005-08-31,2950.43
399001.SZ,2005-09-01,3003.87
399001.SZ,2005-09-02,3012.15
399001.SZ,2005-09-05,3016.23
399001.SZ,2005-09-06,2978.17
399001.SZ,2005-09-07,3025.69
399001.SZ,2005-09-08,3035.28
399001.SZ,2005-09-09,3009.36
399001.SZ,2005-09-12,2999.22
399001.SZ,2005-09-13,3041.64
399001.SZ,2005-09-14,3073.57
399001.SZ,2005-09-15,3068.95
399001.SZ,2005-09-16,3061.06
399001.SZ,2005-09-19,3064.07
399001.SZ,2005-09-20,3019.92
399001.SZ,2005-09-21,2965.56
399001.SZ,2005-09-22,2905.68
399001.SZ,2005-09-23,2892.85
399001.SZ,2005-09-26,2895.72
399001.SZ,2005-09-27,2844.83
399001.SZ,2005-09-28,2847.56
399001.SZ,2005-09-29,2884.65
399001.SZ,2005-09-30,2903.11
399001.SZ,2005-10-03,2903.11
399001.SZ,2005-10-04,2903.11
399001.SZ,2005-10-05,2903.11
399001.SZ,2005-10-06,2903.11
399001.SZ,2005-10-07,2903.11
399001.SZ,2005-10-10,2858.6
399001.SZ,2005-10-11,2886.97
399001.SZ,2005-10-12,2891.21
399001.SZ,2005-10-13,2870.32
399001.SZ,2005-10-14,2830.76
399001.SZ,2005-10-17,2798.98
399001.SZ,2005-10-18,2794.71
399001.SZ,2005-10-19,2770.63
399001.SZ,2005-10-20,2762.11
399001.SZ,2005-10-21,2775.82
399001.SZ,2005-10-24,2789.18
399001.SZ,2005-10-25,2744.98
399001.SZ,2005-10-26,2662.79
399001.SZ,2005-10-27,2667.63
399001.SZ,2005-10-28,2631.52
399001.SZ,2005-10-31,2662.29
399001.SZ,2005-11-01,2661.61
399001.SZ,2005-11-02,2691.82
399001.SZ,2005-11-03,2675.57
399001.SZ,2005-11-04,2687.02
399001.SZ,2005-11-07,2686.28
399001.SZ,2005-11-08,2693.3
399001.SZ,2005-11-09,2703.11
399001.SZ,2005-11-10,2660.33
399001.SZ,2005-11-11,2664.05
399001.SZ,2005-11-14,2633.66
399001.SZ,2005-11-15,2622.03
399001.SZ,2005-11-16,2639.5
399001.SZ,2005-11-17,2643.05
399001.SZ,2005-11-18,2721.87
399001.SZ,2005-11-21,2732.75
399001.SZ,2005-11-22,2687.24
399001.SZ,2005-11-23,2706.08
399001.SZ,2005-11-24,2716.8
399001.SZ,2005-11-25,2725.06
399001.SZ,2005-11-28,2713.49
399001.SZ,2005-11-29,2682.11
399001.SZ,2005-11-30,2676.85
399001.SZ,2005-12-01,2684.56
399001.SZ,2005-12-02,2680.64
399001.SZ,2005-12-05,2643.93
399001.SZ,2005-12-06,2659.02
399001.SZ,2005-12-07,2676.85
399001.SZ,2005-12-08,2691.45
399001.SZ,2005-12-09,2724.19
399001.SZ,2005-12-12,2736.92
399001.SZ,2005-12-13,2758.77
399001.SZ,2005-12-14,2789.99
399001.SZ,2005-12-15,2777.91
399001.SZ,2005-12-16,2801.64
399001.SZ,2005-12-19,2793.75
399001.SZ,2005-12-20,2804.79
399001.SZ,2005-12-21,2788.67
399001.SZ,2005-12-22,2805.38
399001.SZ,2005-12-23,2827.19
399001.SZ,2005-12-26,2848.3
399001.SZ,2005-12-27,2834.22
399001.SZ,2005-12-28,2834.6
399001.SZ,2005-12-29,2879.97
399001.SZ,2005-12-30,2863.61
399001.SZ,2006-01-02,2863.61
399001.SZ,2006-01-03,2863.61
399001.SZ,2006-01-04,2948.8
399001.SZ,2006-01-05,3037.97
399001.SZ,2006-01-06,3053.31
399001.SZ,2006-01-09,3064.85
399001.SZ,2006-01-10,3079.92
399001.SZ,2006-01-11,3043.97
399001.SZ,2006-01-12,3084.19
399001.SZ,2006-01-13,3045.57
399001.SZ,2006-01-16,2985.3
399001.SZ,2006-01-17,3024.55
399001.SZ,2006-01-18,3123.04
399001.SZ,2006-01-19,3161.18
399001.SZ,2006-01-20,3153.35
399001.SZ,2006-01-23,3154.1
399001.SZ,2006-01-24,3198.15
399001.SZ,2006-01-25,3242.35
399001.SZ,2006-01-26,3242.35
399001.SZ,2006-01-27,3242.35
399001.SZ,2006-01-30,3242.35
399001.SZ,2006-01-31,3242.35
399001.SZ,2006-02-01,3242.35
399001.SZ,2006-02-02,3242.35
399001.SZ,2006-02-03,3242.35
399001.SZ,2006-02-06,3359.5
399001.SZ,2006-02-07,3358.69
399001.SZ,2006-02-08,3335.68
399001.SZ,2006-02-09,3262.52
399001.SZ,2006-02-10,3321.91
399001.SZ,2006-02-13,3307.7
399001.SZ,2006-02-14,3334.68
399001.SZ,2006-02-15,3362.15
399001.SZ,2006-02-16,3277.13
399001.SZ,2006-02-17,3295.87
399001.SZ,2006-02-20,3308.53
399001.SZ,2006-02-21,3359.69
399001.SZ,2006-02-22,3363.03
399001.SZ,2006-02-23,3358.97
