ticker,date,factor_1,factor_2,factor_3
FIX,00/12/29,-0.081961995,0.07285395,0.039173458
FIX,01/1/31,-0.040840042,0.036255353,0.002293258
FIX,01/2/28,-0.025682965,0.056104885,-0.011939014
FIX,01/3/30,0.082752873,0.064797155,0.024657768
FIX,01/4/30,0.116243073,0.041115674,0.03873359
FIX,01/5/31,0.079120178,-0.03666067,-0.025020375
FIX,01/6/29,0.057196512,-0.014594194,-0.038307387
FIX,01/7/31,0.018372193,-0.017257484,-0.053903209
FIX,01/8/31,0.04431406,-0.011164445,0.014211506
FIX,01/9/28,0.14592468,0.076190591,0.11905881
FIX,01/10/31,0.18605621,0.139216553,0.204122626
FIX,01/11/30,0.149634376,0.193384656,0.17666251
FIX,01/12/31,0.211601951,0.229546186,0.098732412
FIX,02/1/31,0.255519633,0.277567229,0.060994288
FIX,02/2/28,0.255052391,0.269222557,0.078663208
FIX,02/3/29,0.244807008,0.156678954,0.052739449
FIX,02/4/30,0.20258493,0.055624523,-0.005061069
FIX,02/5/31,0.284523996,0.076370464,-0.002125542
FIX,02/6/28,0.32320965,0.076177264,0.022263643
FIX,02/7/31,0.334001942,0.044173576,0.049485092
FIX,02/8/30,0.302667326,0.026350595,0.028536793
FIX,02/9/30,0.183259416,0.022979983,0.000700739
FIX,02/10/31,0.113826745,0.055135344,0.005383833
FIX,02/11/29,0.031287436,-0.041884304,-0.068467261
FIX,02/12/31,0.00650227,-0.064743046,-0.065397958
FIX,03/1/31,-0.011265347,-0.053093589,-0.058164275
FIX,03/2/28,-0.033165625,-0.057988197,0.011249271
FIX,03/3/31,-0.112906471,-0.132833932,-0.072154748
FIX,03/4/30,-0.110584713,-0.157060474,-0.105003662
FIX,03/5/30,-0.104140258,-0.064977491,-0.075378806
FIX,03/6/30,-0.210974524,-0.156354334,-0.090747445
FIX,03/7/31,-0.169568176,-0.123005385,-0.020113739
FIX,03/8/29,-0.166116738,-0.114784699,-0.042618419
FIX,03/9/30,-0.178600851,-0.05277757,0.041759436
FIX,03/10/31,-0.203107723,-0.05462699,-0.03522169
FIX,03/11/28,-0.104191265,-0.041938856,0.000709814
FIX,03/12/31,-0.136302543,0.023768024,-0.017270218
FIX,04/1/30,-0.128935378,-0.006761721,0.029498973
FIX,04/2/27,-0.110565431,0.004766375,0.004053684
FIX,04/3/31,-0.025228658,0.02908389,0.047168722
FIX,04/4/30,-0.042340235,0.012996727,-0.016029395
FIX,04/5/31,-0.059290416,-0.018111119,-0.022075317
FIX,04/6/30,0.010467641,-0.012991598,-0.057450456
FIX,04/7/30,-0.038463072,-0.031917166,-0.016146591
FIX,04/8/31,-0.01727631,-0.02193812,0.000140293
FIX,04/9/30,-0.028934337,-0.05637852,0.001137272
FIX,04/10/29,-0.008559398,-0.02127956,-0.005217209
FIX,04/11/30,-0.039005282,-0.02127956,-0.021416849
FIX,04/12/31,0.001928229,0.015116211,0.013963059
FIX,05/1/31,-0.029091716,0.002918603,0.008178481
FIX,05/2/28,-0.005872141,0.016426342,0.038671411
FIX,05/3/31,-0.035309751,0.022327564,0.008249319
