date,sp500,sp500ret
19990104,1228.1,-0.000919
19990105,1244.78,0.013582
19990106,1272.34,0.02214
19990107,1269.73,-0.002051
19990108,1275.09,0.004221
19990111,1263.88,-0.008792
19990112,1239.51,-0.019282
19990113,1234.4,-0.004123
19990114,1212.19,-0.017993
19990115,1243.26,0.025631
19990119,1252,0.00703
19990120,1256.62,0.00369
19990121,1235.16,-0.017078
19990122,1225.19,-0.008072
19990125,1233.98,0.007174
19990126,1252.31,0.014854
19990127,1243.17,-0.007299
19990128,1265.37,0.017858
19990129,1279.64,0.011277
19990201,1273,-0.005189
19990202,1261.99,-0.008649
19990203,1272.07,0.007987
19990204,1248.49,-0.018537
19990205,1239.4,-0.007281
19990208,1243.77,0.003526
19990209,1216.14,-0.022215
19990210,1223.55,0.006093
19990211,1254.04,0.024919
19990212,1230.13,-0.019066
19990216,1241.87,0.009544
19990217,1224.03,-0.014365
19990218,1237.28,0.010825
19990219,1239.22,0.001568
19990222,1272.14,0.026565
19990223,1271.18,-0.000755
19990224,1253.41,-0.013979
19990225,1245.02,-0.006694
19990226,1238.33,-0.005373
19990301,1236.16,-0.001752
19990302,1225.5,-0.008623
19990303,1227.7,0.001795
19990304,1246.64,0.015427
19990305,1275.47,0.023126
19990308,1282.73,0.005692
19990309,1279.84,-0.002253
19990310,1286.84,0.005469
19990311,1297.68,0.008424
19990312,1294.59,-0.002381
19990315,1307.26,0.009787
19990316,1306.38,-0.000673
19990317,1297.82,-0.006552
19990318,1316.55,0.014432
19990319,1299.29,-0.01311
19990322,1297.01,-0.001755
19990323,1262.14,-0.026885
19990324,1268.59,0.00511
19990325,1289.99,0.016869
19990326,1282.8,-0.005574
19990329,1310.17,0.021336
19990330,1300.75,-0.00719
19990331,1286.37,-0.011055
19990401,1293.72,0.005714
19990405,1321.12,0.021179
19990406,1317.89,-0.002445
19990407,1326.89,0.006829
19990408,1343.98,0.01288
19990409,1348.35,0.003252
19990412,1358.64,0.007632
19990413,1349.82,-0.006492
19990414,1328.44,-0.015839
19990415,1322.86,-0.0042
19990416,1319,-0.002918
19990419,1289.48,-0.022381
19990420,1306.17,0.012943
19990421,1336.12,0.02293
19990422,1358.82,0.016989
19990423,1356.85,-0.00145
19990426,1360.04,0.002351
19990427,1362.8,0.002029
19990428,1350.91,-0.008725
19990429,1342.83,-0.005981
19990430,1335.18,-0.005697
19990503,1354.63,0.014567
19990504,1332,-0.016706
19990505,1347.31,0.011494
19990506,1332.05,-0.011326
19990507,1345,0.009722
19990510,1340.3,-0.003494
