ticker,date,price
FIX,00/12/29,2.13
FIX,01/1/31,2.47
FIX,01/2/28,2.48
FIX,01/3/30,2.44
FIX,01/4/30,1.84
FIX,01/5/31,3.62
FIX,01/6/29,3.62
FIX,01/7/31,3.71
FIX,01/8/31,3.51
FIX,01/9/28,3.02
FIX,01/10/31,2.8
FIX,01/11/30,3.4
FIX,01/12/31,3.7
FIX,02/1/31,4.12
FIX,02/2/28,3.9
FIX,02/3/29,4.13
FIX,02/4/30,4.7
FIX,02/5/31,4.7
FIX,02/6/28,4.97
FIX,02/7/31,3.7
FIX,02/8/30,3.15
FIX,02/9/30,3.04
FIX,02/10/31,3.3
FIX,02/11/29,3.15
FIX,02/12/31,3.35
FIX,03/1/31,3.09
FIX,03/2/28,2.72
FIX,03/3/31,2.21
FIX,03/4/30,1.97
FIX,03/5/30,2.8
FIX,03/6/30,2.63
FIX,03/7/31,3.25
FIX,03/8/29,3.72
FIX,03/9/30,3.81
FIX,03/10/31,4.13
FIX,03/11/28,4.81
FIX,03/12/31,5.48
FIX,04/1/30,6.69
FIX,04/2/27,6.49
FIX,04/3/31,7.22
FIX,04/4/30,6.82
FIX,04/5/31,7.05
FIX,04/6/30,6.39
FIX,04/7/30,5.99
FIX,04/8/31,6.7
FIX,04/9/30,6.6
FIX,04/10/29,6.93
FIX,04/11/30,7.2
FIX,04/12/31,7.68
FIX,05/1/31,6.81
FIX,05/2/28,7.72
FIX,05/3/31,7.75
FIX,05/4/29,7.14
FIX,05/5/31,6.29
FIX,05/6/30,6.58
FIX,05/7/29,7.75
FIX,05/8/31,8.23
FIX,05/9/30,8.81
FIX,05/10/31,8.5
FIX,05/11/30,9.39
FIX,05/12/30,9.2
FIX,06/1/31,10.51
FIX,06/2/28,10.99
FIX,06/3/31,13.5
FIX,06/4/28,15.26
FIX,06/5/31,13
FIX,06/6/30,14.29
FIX,06/7/31,13.84
FIX,06/8/31,13.03
FIX,06/9/29,11.46
FIX,06/10/31,11.61
FIX,06/11/30,13.49
FIX,06/12/29,12.64
FIX,07/1/31,12.25
FIX,07/2/28,13.61
FIX,07/3/30,11.98
FIX,07/4/30,12.49
FIX,07/5/31,14
FIX,07/6/29,14.18
FIX,07/7/31,12.94
FIX,07/8/31,14.55
FIX,07/9/28,14.2
FIX,07/10/31,14.62
FIX,07/11/30,11.75
FIX,07/12/31,12.78
FIX,08/1/31,12.27
FIX,08/2/29,11.9
FIX,08/3/31,13.01
FIX,08/4/30,13.6
FIX,08/5/30,13.4
FIX,08/6/30,13.44
FIX,08/7/31,13.26
FIX,08/8/29,15.24
FIX,08/9/30,13.36
FIX,08/10/31,9.33
FIX,08/11/28,8.35
FIX,08/12/31,10.66
FIX,09/1/30,10.23
FIX,09/2/27,9.52
FIX,09/3/31,10.37
FIX,09/4/30,10.79
FIX,09/5/29,9.33
FIX,09/6/30,10.25
FIX,09/7/31,11.78
FIX,09/8/31,11.87
FIX,09/9/30,11.59
FIX,09/10/30,10.9
FIX,09/11/30,11.39
FIX,09/12/31,12.34
FIX,10/1/29,11.73
FIX,10/2/26,11.72
FIX,10/3/31,12.49
FIX,10/4/30,14.08
FIX,10/5/31,11.02
FIX,10/6/30,9.66
FIX,10/7/30,11.41
FIX,10/8/31,10.43
FIX,10/9/30,10.73
FIX,10/10/29,11.45
FIX,10/11/30,11.15
FIX,10/12/31,13.17
FIX,11/1/31,12.73
FIX,11/2/28,13.27
FIX,11/3/31,14.07
FIX,11/4/29,12.21
FIX,11/5/31,10.37
FIX,11/6/30,10.61
FIX,11/7/29,10.44
FIX,11/8/31,9.56
FIX,11/9/30,8.32
FIX,11/10/31,11
FIX,11/11/30,10.43
FIX,11/12/30,10.72
FIX,12/1/31,11.96
FIX,12/2/29,11.44
FIX,12/3/30,10.91
FIX,12/4/30,10.58
FIX,12/5/31,9.08
FIX,12/6/29,10.02
FIX,12/7/31,9.79
FIX,12/8/31,10.32
FIX,12/9/28,10.93
FIX,12/10/31,10.9
FIX,12/11/30,10.81
FIX,12/12/31,12.16
FIX,13/1/31,12.91
FIX,13/2/28,12.48
FIX,13/3/29,14.09
FIX,13/4/30,12.83
FIX,13/5/31,13.82
FIX,13/6/28,14.92
FIX,13/7/31,15.45
FIX,13/8/30,15.1
FIX,13/9/30,16.81
FIX,13/10/31,18.63
FIX,13/11/29,20.5
FIX,13/12/31,19.39
FIX,14/1/31,17.04
FIX,14/2/28,16.43
FIX,14/3/31,15.24
FIX,14/4/30,15
FIX,14/5/30,16.5
FIX,14/6/30,15.8
FIX,14/7/31,14.9
FIX,14/8/29,15.2
FIX,14/9/30,13.55
FIX,14/10/31,15.36
FIX,14/11/28,14.37
FIX,14/12/31,17.12
FIX,15/1/30,16.65
FIX,15/2/27,18.7
FIX,15/3/31,21.04
FIX,15/4/30,20.69
FIX,15/5/29,22.45
FIX,15/6/30,22.95
FIX,15/7/31,27.64
FIX,15/8/31,27.72
FIX,15/9/30,27.26
FIX,15/10/30,31.93
FIX,15/11/30,31.74
FIX,15/12/31,28.42
FIX,16/1/29,28.34
FIX,16/2/29,28.05
FIX,16/3/31,31.77
FIX,16/4/29,29.49
FIX,16/5/31,32
FIX,16/6/30,32.57
FIX,16/7/29,30.38
FIX,16/8/31,28.39
FIX,16/9/30,29.31
FIX,16/10/31,28.85
FIX,16/11/30,32.2
FIX,16/12/30,33.3
FIX,17/1/31,33.85
FIX,17/2/28,38.15
FIX,17/3/31,36.65
FIX,17/4/28,36.7
FIX,17/5/31,34.45
FIX,17/6/30,37.1
FIX,17/7/31,33.3
FIX,17/8/31,34.05
FIX,17/9/29,35.7
FIX,17/10/31,44.3
FIX,17/11/30,42.95
FIX,17/12/29,43.65
FIX,18/1/31,42.6
FIX,18/2/28,41.05
FIX,18/3/30,41.25
FIX,18/4/30,42.2
FIX,18/5/31,46.85
FIX,18/6/29,45.8
FIX,18/7/31,55.55
FIX,18/8/31,57.4
FIX,18/9/28,56.4
FIX,18/10/31,53.48
FIX,18/11/30,52.66
FIX,18/12/31,43.68
WVFC,00/12/29,12.38
WVFC,01/1/31,12.75
WVFC,01/2/28,12.63
WVFC,01/3/30,12.75
WVFC,01/4/30,12.7
WVFC,01/5/31,13.14
WVFC,01/6/29,13.95
WVFC,01/7/31,15.33
WVFC,01/8/31,16.62
WVFC,01/9/28,15.85
WVFC,01/10/31,16.08
WVFC,01/11/30,16.04
WVFC,01/12/31,15.9
WVFC,02/1/31,16.1
WVFC,02/2/28,16.08
WVFC,02/3/29,16.1
WVFC,02/4/30,15.99
WVFC,02/5/31,15.95
WVFC,02/6/28,15.93
WVFC,02/7/31,15.88
WVFC,02/8/30,15.99
WVFC,02/9/30,15.85
WVFC,02/10/31,15.86
WVFC,02/11/29,15.95
WVFC,02/12/31,15.92
WVFC,03/1/31,16.1
WVFC,03/2/28,15.98
WVFC,03/3/31,16.21
WVFC,03/4/30,17.8
WVFC,03/5/30,18.05
WVFC,03/6/30,18
WVFC,03/7/31,17.38
WVFC,03/8/29,16.84
WVFC,03/9/30,17.1
WVFC,03/10/31,17.5
WVFC,03/11/28,17.4
WVFC,03/12/31,17.5
WVFC,04/1/30,18.62
WVFC,04/2/27,17.54
WVFC,04/3/31,19.03
WVFC,04/4/30,18.51
WVFC,04/5/31,18.15
WVFC,04/6/30,17.84
WVFC,04/7/30,17.38
WVFC,04/8/31,17.56
WVFC,04/9/30,17.8
WVFC,04/10/29,17.66
WVFC,04/11/30,17
WVFC,04/12/31,17.13
WVFC,05/1/31,17.01
WVFC,05/2/28,16.75
WVFC,05/3/31,16.85
WVFC,05/4/29,16.95
WVFC,05/5/31,17.1
WVFC,05/6/30,16.88
WVFC,05/7/29,16.5
WVFC,05/8/31,16.57
WVFC,05/9/30,16.3
WVFC,05/10/31,16.3
WVFC,05/11/30,16.1
WVFC,05/12/30,16.21
WVFC,06/1/31,16.24
WVFC,06/2/28,16.6
WVFC,06/3/31,17.75
WVFC,06/4/28,17.25
WVFC,06/5/31,17.02
WVFC,06/6/30,16.6
WVFC,06/7/31,16.4
WVFC,06/8/31,16.4
WVFC,06/9/29,16.7
WVFC,06/10/31,17.05
WVFC,06/11/30,16.69
WVFC,06/12/29,16.7
WVFC,07/1/31,16.51
WVFC,07/2/28,16.64
WVFC,07/3/30,17.2
WVFC,07/4/30,16.69
WVFC,07/5/31,16.7
WVFC,07/6/29,16.4
WVFC,07/7/31,16.5
WVFC,07/8/31,16.45
WVFC,07/9/28,16.5
WVFC,07/10/31,17
WVFC,07/11/30,16.48
WVFC,07/12/31,16.43
WVFC,08/1/31,16.25
WVFC,08/2/29,16.18
WVFC,08/3/31,16
WVFC,08/4/30,16.2
WVFC,08/5/30,16.1
WVFC,08/6/30,15.9
WVFC,08/7/31,15.94
WVFC,08/8/29,15.98
WVFC,08/9/30,16.4
WVFC,08/10/31,17
WVFC,08/11/28,16
WVFC,08/12/31,15.98
WVFC,09/1/30,16.18
WVFC,09/2/27,16.18
WVFC,09/3/31,15
WVFC,09/4/30,15
WVFC,09/5/29,15.99
WVFC,09/6/30,16.15
WVFC,09/7/31,15.6
WVFC,09/8/31,15
WVFC,09/9/30,15.35
WVFC,09/10/30,15.24
WVFC,09/11/30,15.13
WVFC,09/12/31,14.39
WVFC,10/1/29,14.48
WVFC,10/2/26,14.55
WVFC,10/3/31,14.13
WVFC,10/4/30,14
WVFC,10/5/31,13.25
WVFC,10/6/30,11
WVFC,10/7/30,11
WVFC,10/8/31,10.88
WVFC,10/9/30,10.6
WVFC,10/10/29,10.48
WVFC,10/11/30,9.6
WVFC,10/12/31,9.09
WVFC,11/1/31,8.94
WVFC,11/2/28,8.8
WVFC,11/3/31,8.72
WVFC,11/4/29,8.83
WVFC,11/5/31,9.17
WVFC,11/6/30,9.3
WVFC,11/7/29,9.09
WVFC,11/8/31,9.2
WVFC,11/9/30,9.7
WVFC,11/10/31,9.25
WVFC,11/11/30,8.75
WVFC,11/12/30,9.05
WVFC,12/1/31,8.71
WVFC,12/2/29,8.45
WVFC,12/3/30,8.1
WVFC,12/4/30,7.73
WVFC,12/5/31,7.62
WVFC,12/6/29,7.35
WVFC,12/7/31,8
WVFC,12/8/31,8.65
WVFC,12/9/28,8.38
WVFC,12/10/31,8.5
WVFC,12/11/30,8.25
WVFC,12/12/31,8.27
WVFC,13/1/31,9.5
WVFC,13/2/28,10.5
WVFC,13/3/29,10.5
WVFC,13/4/30,12.33
WVFC,13/5/31,11.34
WVFC,13/6/28,11.05
WVFC,13/7/31,10.68
WVFC,13/8/30,10.9
WVFC,13/9/30,11.06
WVFC,13/10/31,11.01
WVFC,13/11/29,11.35
WVFC,13/12/31,12.25
WVFC,14/1/31,12.72
WVFC,14/2/28,11.55
WVFC,14/3/31,11.54
WVFC,14/4/30,11.75
WVFC,14/5/30,11.75
WVFC,14/6/30,10.88
WVFC,14/7/31,10.99
WVFC,14/8/29,11.09
WVFC,14/9/30,10.87
WVFC,14/10/31,10.93
WVFC,14/11/28,10.95
WVFC,14/12/31,10.78
WVFC,15/1/30,11.45
WVFC,15/2/27,12.02
WVFC,15/3/31,12.8
WVFC,15/4/30,12.34
WVFC,15/5/29,11.8
WVFC,15/6/30,11.75
WVFC,15/7/31,11.11
WVFC,15/8/31,10.91
WVFC,15/9/30,10.75
WVFC,15/10/30,11.77
WVFC,15/11/30,12.3
WVFC,15/12/31,12.3
WVFC,16/1/29,11.51
WVFC,16/2/29,11.8
WVFC,16/3/31,11.54
WVFC,16/4/29,11.81
WVFC,16/5/31,11.7
WVFC,16/6/30,11.14
WVFC,16/7/29,12.03
WVFC,16/8/31,11.9
WVFC,16/9/30,12.9
WVFC,16/10/31,12.25
WVFC,16/11/30,14.01
WVFC,16/12/30,14.73
WVFC,17/1/31,14.85
WVFC,17/2/28,15.19
WVFC,17/3/31,14.95
WVFC,17/4/28,15.04
WVFC,17/5/31,15.32
